Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
2016/6/21,Northern Ireland,Germany,0,1,Group C,,Parc des Princes, Paris,44125,2016
2016/6/12,Turkey,Croatia,0,1,Group D,,Parc des Princes, Paris,43842,2016
2016/6/13,Spain,Czech Republic,1,0,Group D,,Stadium Municipal, Toulouse,29400,2016
2016/6/17,Czech Republic,Croatia,2,2,Group D,,Stade Geoffroy-Guichard, Saint-脡tienne,38376,2016
2016/6/17,Spain,Turkey,3,0,Group D,,Stade de Nice, Nice,33409,2016
2016/6/21,Czech Republic,Turkey,0,2,Group D,,Stade Bollaert-Delelis, Lens,32836,2016
2016/6/21,Croatia,Spain,2,1,Group D,,Nouveau Stade de Bordeaux, Bordeaux,37245,2016
2016/6/13,Republic of Ireland,Sweden,1,1,Group E,,Stade de France, Saint-Denis,73419,2016
2016/6/13,Belgium,Italy,0,2,Group E,,Parc Olympique Lyonnais, D茅cines-Charpieu,55408,2016
2016/6/17,Italy,Sweden,1,0,Group E,,Stadium Municipal, Toulouse,29600,2016
2016/6/18,Belgium,Republic of Ireland,3,0,Group E,,Nouveau Stade de Bordeaux, Bordeaux,39493,2016
2016/6/22,Italy,Republic of Ireland,0,1,Group E,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44268,2016
2016/6/22,Sweden,Belgium,0,1,Group E,,Stade de Nice, Nice,34011,2016
2016/6/14,Austria,Hungary,0,2,Group F,,Nouveau Stade de Bordeaux, Bordeaux,34424,2016
